rosalind,254
orlando,159
celia,126
love,112
touchstone,87
jaques,79
duke,75
man,68
oliver,54
i'll,48
phebe,45
forest,41
silvius,41
brother,37
father,35
senior,35
corin,34
audrey,32
heart,32
frederick,32
'tis,32
youth,27
lord,27
pray,26
art,26
world,26
beau,22
adam,22
marry,22
woman,22
charles,21
shepherd,21
poor,21
god,21
